id_cliente,qtde_compras,valor_compras,periodo_consumo
102607.0,1,14.05,2024-12
102628.0,1,16.27,2024-12
100217.0,1,17.37,2024-12
101618.0,1,20.57,2024-12
100135.0,1,19.52,2024-12
101351.0,1,19.2,2024-12
101163.0,1,16.31,2024-12
101370.0,1,21.57,2024-12
100404.0,1,17.59,2024-12
100653.0,1,23.05,2024-12
100278.0,1,19.34,2024-12
102080.0,1,13.89,2024-12
101190.0,1,19.79,2024-12
101952.0,1,16.02,2024-12
100962.0,1,19.9,2024-12
102256.0,1,13.28,2024-12
100114.0,15,216.12,2025-01
102203.0,12,260.65,2025-01
102119.0,11,164.67,2025-01
101823.0,10,215.2,2025-01
100434.0,10,155.29,2025-01
100372.0,9,174.91,2025-01
101808.0,9,179.87,2025-01
100146.0,8,144.29,2025-01
100038.0,8,126.47,2025-01
101153.0,8,118.51,2025-01
100795.0,8,103.09,2025-01
100359.0,8,126.36,2025-01
100317.0,8,156.36,2025-01
101354.0,8,180.86,2025-01
100080.0,8,175.09,2025-01
100165.0,8,166.06,2025-01
101525.0,7,146.99,2025-01
100774.0,7,137.7,2025-01
102138.0,7,107.28,2025-01
102338.0,7,155.91,2025-01
101457.0,7,138.14,2025-01
102385.0,6,111.29,2025-01
100753.0,6,82.33,2025-01
102035.0,6,103.99,2025-01
101461.0,6,104.85,2025-01
102437.0,6,130.89,2025-01
102008.0,6,110.41,2025-01
100002.0,6,99.69,2025-01
100533.0,6,138.13,2025-01
100128.0,6,82.31,2025-01
100541.0,6,102.41,2025-01
102447.0,6,77.89,2025-01
100529.0,6,122.86,2025-01
100928.0,5,111.95,2025-01
102337.0,5,77.69,2025-01
101892.0,5,108.74,2025-01
100100.0,5,78.34,2025-01
100834.0,5,111.56,2025-01
100276.0,5,103.14,2025-01
100829.0,5,105.87,2025-01
101882.0,5,63.62,2025-01
100436.0,5,114.35,2025-01
102284.0,5,101.67,2025-01
101264.0,4,63.21,2025-01
100751.0,4,85.75,2025-01
102557.0,4,62.21,2025-01
102478.0,4,87.61,2025-01
100582.0,4,54.96,2025-01
102400.0,4,80.35,2025-01
101076.0,4,73.35,2025-01
101032.0,4,54.27,2025-01
102690.0,4,60.51,2025-01
102208.0,4,50.65,2025-01
102000.0,4,70.26,2025-01
100914.0,4,63.06,2025-01
